team_name,team_abbr,total_wins,home_1_0_wins,away_1_0_wins,one_nil_wins,pct_one_nil
Sheffield United,SHU,56,15,7,22,39.3
Wigan Athletic,WIG,85,21,12,33,38.8
West Bromwich Albion,WBA,117,24,17,41,35.0
Charlton Athletic,CHA,93,14,18,32,34.4
Derby County,DER,68,17,6,23,33.8
Sunderland,SUN,167,37,18,55,32.9
Stoke City,STO,116,22,16,38,32.8
Burnley,BUR,92,21,9,30,32.6
Nottingham Forest,NFO,108,23,12,35,32.4
Birmingham City,BIR,73,13,10,23,31.5
Reading,REA,32,7,3,10,31.3
Wimbledon,WIM,99,19,11,30,30.3
Southampton,SOU,282,46,38,84,29.8
Bolton Wanderers,BOL,149,28,15,43,28.9
Wolverhampton Wanderers,WOL,129,21,16,37,28.7
Norwich City,NOR,99,21,7,28,28.3
Everton,EVE,464,73,56,129,27.8
Middlesbrough,MID,165,26,19,45,27.3
Crystal Palace,CRY,193,31,21,52,26.9
Sheffield Wednesday,SHW,101,16,11,27,26.7
Blackburn Rovers,BLA,262,44,25,69,26.3
Aston Villa,AVL,430,63,48,111,25.8
Ipswich Town,IPS,62,8,8,16,25.8
Swansea City,SWA,82,14,6,20,24.4
Coventry City,COV,99,21,3,24,24.2
West Ham United,WHU,381,54,38,92,24.1
Fulham,FUL,220,35,18,53,24.1
Hull City,HUL,42,7,3,10,23.8
Watford,WAT,73,11,6,17,23.3
Portsmouth,POR,79,10,8,18,22.8
Newcastle United,NEW,453,64,37,101,22.3
Queens Park Rangers,QPR,81,9,9,18,22.2
Chelsea,CHE,681,81,68,149,21.9
Leicester City,LEI,224,26,22,48,21.4
Brighton and Hove Albion,BHA,108,14,9,23,21.3
Bournemouth,BOU,108,12,11,23,21.3
Tottenham Hotspur,TOT,561,70,48,118,21.0
Leeds United,LEE,235,35,13,48,20.4
Arsenal,ARS,720,68,73,141,19.6
Manchester United,MUN,775,75,76,151,19.5
Manchester City,MCI,573,54,47,101,17.6
Liverpool,LIV,694,62,53,115,16.6
Brentford,BRE,68,3,3,6,8.8
